Date,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE,AEO,AEP
2006-10-16,23.4145003464,,9.68995089885,,19.3435286442,16.9360948429,46.2341366366,289.703521752,25.753321834,38.25,22.974783381,29.7485195063,27.6924826442,35.3,,30.7431434575,20.2379820435,24.8221636247
2006-10-17,23.4690796013,,9.54730042806,,19.4191713806,16.9432757184,46.3062272862,283.26762489,25.4870750857,38.12,22.7530903925,29.1310384131,27.7750587372,34.8,,31.0392530546,19.9893153101,25.2451979923
2006-10-18,23.8852464198,,9.5781437731,,19.4822069942,17.1802446095,46.338267575,278.418661501,25.7452537507,38.53,21.9328263348,29.0841411148,27.9402109234,35.25,,31.3701990748,19.7929994679,25.6246847043
2006-10-19,23.8238447581,,10.151315935,,19.5410402336,17.2053776737,45.6413912951,302.046337651,25.4467346693,38.49,21.8958775034,29.6234600444,27.9461092158,34.93,,31.4282597801,19.6752099625,25.5873581425
2006-10-20,23.8238447581,,10.2746893152,,19.6208853443,17.5141553198,45.3770589131,282.474158154,25.4144623361,38.2,21.9919444651,29.3108113896,27.9697023852,35.08,,31.5850236844,19.6315842198,25.7180011089
2006-10-23,23.7351534689,,10.468745361,,19.9150515413,17.5321075085,45.7775625222,286.000676982,25.8743430832,38.58,22.1766886222,29.0763248985,28.2528204186,35.92,,31.7185633066,20.2816077862,25.9170761054
2006-10-24,23.830667165,,10.4160546466,,19.9150515413,17.2771864286,46.21010642,307.336115894,26.1244536649,38.09,21.9180468022,29.678173559,28.193837495,36.54,,31.788236153,20.3121458061,25.9046339181
2006-10-25,23.8988912336,,10.4970184273,,19.5410402336,17.3346334326,46.7307611119,315.711598111,26.1325217482,38.94,23.3073228639,30.3269195178,28.0876682325,36.87,,32.0030607626,20.0896545183,25.9917292291
2006-10-26,24.1649651011,,10.5625605355,,19.5368378594,17.1946063605,47.2113654428,316.505064848,26.471381246,39.36,23.2925433313,31.1632546694,28.0876682325,37.28,,31.8056543646,20.6044382823,25.5500315806
2006-10-27,23.7965551307,,10.3338057265,,19.6376948412,17.1156167301,46.2741869975,317.386694555,26.213202581,38.57,23.0043424462,30.7724438509,28.1112614019,36.21,,31.799848294,19.9151515475,25.4940417379
2006-10-30,23.8101999444,,10.3350908659,,19.6755162094,16.9073713409,46.1940862757,304.691226773,26.8909215766,38.03,23.285153565,30.1236978921,28.9134291633,37.13,,31.8346847172,20.1725434294,25.543810487
2006-10-31,24.2877684246,,10.4199100647,,19.8352064307,17.0581697262,45.857663244,305.308367568,26.5520620788,38.25,23.5142363198,30.0924330266,29.1611574425,36.75,,31.4108415685,19.9805901615,25.7739909517
2006-11-01,23.2575849886,,10.1731633044,,19.8099921852,17.0258557865,45.8256229553,295.169625936,26.6085386618,37.76,23.4033898256,28.6151681326,28.7541752695,36.26,,31.5211569086,19.5923210514,26.0663823528
2006-11-02,22.7936613221,,10.1500307956,,19.4485880003,17.0402175375,45.4010891296,298.784307735,26.8909215766,37.66,23.3442716953,27.8726275774,28.3825828506,36.02,,31.2482715937,19.923876696,25.5189261124
2006-11-03,22.4661857928,,10.0613561787,,19.0871838153,17.1048454169,45.3209884078,305.484693509,26.6972875779,37.75,23.0708503427,26.7549086364,28.3059050499,36.01,,31.2424655231,19.6839351111,25.4691573633
2006-11-06,23.2166505475,,10.2438459701,,19.2468740366,17.0438079752,45.417109274,302.839804388,27.189440658,38.54,23.5216260861,26.74709242,28.3118033423,36.04,,31.1844048178,20.2248943207,25.7491065771
2006-11-07,22.943754273,,10.3466571202,,19.272088282,17.1838350473,45.9938344711,301.605522798,26.7053556612,39.61,23.9650120632,26.2077734905,28.6421077146,35.44,,31.3005262284,20.1899937265,25.6931167344
2006-11-08,22.9710439005,,10.5959741593,,19.1880407972,16.9755896581,45.9377639658,299.665937442,26.9796704927,39.81,23.905893933,27.927341092,28.7128872229,35.52,,31.3295565811,20.2161691722,25.9046339181
2006-11-09,23.2507625818,,10.7103515638,,18.8644579804,16.4585666228,45.240887686,307.688767777,26.9231939097,39.69,23.492067021,27.9507897411,28.648006007,34.74,,31.2018230294,19.8933386761,25.9360334744
2006-11-10,23.4281451602,,10.6820784975,,18.9653149622,16.5052423135,46.1540359148,300.723893091,27.3265980738,39.41,23.7359293084,27.71630325,28.7010906382,34.68,,31.2366594526,20.6698768964,26.049071877
2006-11-13,23.878424013,,10.8401506408,,18.9022793486,16.3903483056,46.2341366366,299.754100413,27.2539853243,40.09,23.7950474387,27.4036545952,28.7659718542,35.34,,31.0334469841,20.5302745197,26.0176723207
2006-11-14,22.5139426408,,10.9236847003,,19.4738022457,16.5806415061,45.8736833884,299.577774471,27.5202320726,40.51,24.4083980404,28.0367681212,28.9075308709,36.03,,31.2947201579,21.0232454123,25.9799928532
2006-11-15,22.6094563369,,10.8015964595,,19.7175399519,16.8714669635,45.7855725944,303.192456271,27.7138660713,41.39,24.8000556535,27.9429735247,29.1434625654,36.62,,31.0566712662,20.8443798672,25.8292749831
2006-11-16,22.9573990868,,11.0020782023,,19.9276586641,17.0509888507,46.2421467088,291.025966313,28.2140872348,41.85,24.9847998106,27.7626962762,29.3616993829,37.0,,31.0102227019,20.8618301643,26.0113924094
2006-11-17,23.0256231554,,11.0329215473,,19.7593862667,17.1156167301,46.298217214,292.260247903,28.3593127338,41.45,24.8813430826,26.9318533046,29.2850215822,40.55,,31.2366594526,20.648064025,26.0051124982
2006-11-20,23.0188007485,,11.1126001886,,19.4564959513,17.1479306698,46.690710751,292.701062756,27.8913639035,41.31,24.7926658872,26.2577731579,29.1257676884,40.8,,31.2308533821,21.066871155,25.9925526757
2006-11-21,22.943754273,,11.3863348758,,19.2629826943,17.0509888507,46.5705596682,300.018589325,27.8268192373,42.55,24.5709728986,26.422374124,29.0195984258,40.93,,31.1727926768,20.6786020449,26.1558303683
2006-11-22,22.800483729,,11.6060937092,,19.2882235539,17.0725314772,46.4103582246,299.842263384,27.6412533218,41.81,24.9719497909,26.7045472086,29.2142420738,41.44,,31.2134351705,20.8749178871,26.0804714332
2006-11-24,22.895997425,,11.7757321069,,19.023194528,16.8571052125,46.1540359148,302.310826563,27.6896618215,41.54,24.9422477989,26.2812875816,29.1257676884,41.58,,31.2540776642,20.7396780847,26.124430812
2006-11-27,22.2478687732,,11.5071379772,,18.9054038498,16.6560406988,45.6093510064,300.723893091,26.8828534933,40.22,24.3110804685,25.8580279546,28.6067179604,40.53,,31.1553744652,21.0057951152,25.8543946281
2006-11-28,22.2410463664,,11.7988646157,,19.023194528,16.6596311365,45.7134819447,306.366323216,26.8021726605,39.91,24.1180175203,25.6307218586,28.9075308709,40.5,,31.3992294275,20.2423446178,26.023952232
2006-11-29,21.8589915822,,11.7975794763,,19.1073307267,16.7924773331,46.0018445433,318.444650203,26.786036494,40.0,23.9472310662,27.0180728583,28.6951923459,40.58,,31.701145095,20.4822862027,26.3002683271
2006-11-30,21.722543445,,11.779587525,,19.347118893,16.7529825179,45.5292502845,315.976087023,27.189440658,40.16,24.1477195124,27.5118757565,28.4474640666,41.18,,31.7650118709,19.7101105567,26.0679116107
2006-12-01,21.8112347341,,11.7358927862,,19.2377418347,16.7206685782,45.1607869642,311.8324274,27.2781895741,39.35,24.2219744924,27.300245943,28.2351255415,41.11,,31.8114604351,20.0154907557,26.3944669959
2006-12-04,22.2546911801,,11.7101899987,,19.6542160183,17.2700055531,45.8256229553,310.507735695,27.7542064877,39.29,24.6749298707,27.3159222254,28.5595316215,42.09,,31.930484881,21.0145202638,26.5514647772
2006-12-05,22.6231011506,,11.7294670894,,19.5784934394,17.3382238703,46.4103582246,314.570123591,27.9881809029,39.15,24.9496732969,27.1042924119,28.3412948041,41.93,,31.9481065614,20.9098184813,26.7587018485
2006-12-06,22.5616994888,,11.5444070191,,19.5238049103,17.2376916134,46.4183682968,314.39349803,27.8348873205,38.54,24.9273968029,26.8848244572,28.3000067575,42.3,,31.8658720529,20.7876664017,26.4635460197
2006-12-07,22.6640355918,,11.1858531331,,19.5069776705,17.2484629267,46.1780661313,313.510370227,27.8026149874,37.75,24.5486964046,26.4615648302,28.4422476292,41.75,,31.5604295926,20.7396780847,26.1809500133
2006-12-08,22.8073061358,,11.342640137,,19.3513257029,17.2197394247,46.5465294517,313.775308568,27.8429554038,38.88,24.5932493927,26.7045472086,28.4126141143,42.02,,31.4312039364,20.7527658075,26.3065482383
2006-12-11,22.9028198319,,11.4056119665,,19.3849801824,17.1694732963,47.0271337826,306.357035019,27.5525044057,39.98,24.4076119425,26.4066978415,28.5904152038,41.16,,31.5134384449,20.9141810555,26.5012254872
2006-12-12,23.1006696308,,11.0701905892,,19.5911138692,17.2305107379,48.5730777138,299.998514834,27.8832958202,39.97,24.2962294725,26.2342587342,28.5607816889,41.06,,31.6485379946,20.3077832319,26.695902736
2006-12-13,23.0870248171,,11.4441661478,,19.8982109945,17.2197394247,48.8854705289,302.647898244,28.0043170694,40.3,24.1254430183,25.677750706,28.7326560755,41.06,,31.7190247162,20.5433622425,26.645663446
2006-12-14,23.2371177681,,11.379909179,,19.410221042,17.2700055531,48.7332791575,298.320572007,28.1979510682,40.81,24.2293999904,25.5680167287,29.0526980367,41.34,,31.8130070117,21.001432541,26.7084625585
2006-12-15,23.2507625818,,11.2732426107,,19.5322185301,17.4028517497,48.6371582913,299.998514834,28.076929819,42.81,24.1996979984,25.6463981411,29.4201536219,41.81,,31.7248986097,21.1323097691,26.6519433572
2006-12-18,23.2507625818,,10.984086251,,19.216707785,17.2807768664,48.4529266311,282.335958765,27.8913639035,41.29,24.4001864445,25.1290808192,29.2897661562,40.63,,31.413582256,20.5477248168,26.4572661084
2006-12-19,23.2780522092,,11.0920379586,,19.0905034869,17.3274525571,48.4689467755,288.606166169,27.9236362366,41.45,24.1996979984,25.6934269885,29.1890122054,40.56,,31.6250424207,20.6426108072,26.9408192749
2006-12-20,23.2302953612,,10.8928413553,,19.0947102969,17.216148987,48.5650676417,281.09957984,28.3028361508,41.87,24.5635474006,25.0350231243,29.2779127502,41.06,,31.6015468469,20.1178542566,26.8717402511
2006-12-21,23.3667434984,,10.6538054312,,18.9853332385,17.2341011757,48.581087786,272.886491268,29.5856613926,41.38,24.3482079585,24.6979830509,29.2482792353,40.4,,31.6309163142,20.1965677392,26.8277808723
2006-12-22,23.0051559348,,10.5638456749,,18.7876131716,17.1371593566,48.2046143934,272.974804048,29.4081635604,40.75,23.9101035762,24.6744686272,29.0467713338,40.04,,31.666159675,20.0784975153,26.7273022923
2006-12-26,23.3326314641,,10.4751710579,,18.7118905927,17.3166812438,48.5250172807,270.678671759,29.2871423112,41.44,24.0437625403,25.0350231243,29.2482792353,40.57,,31.7131508227,19.9932245759,26.9596590086
2006-12-27,23.6737518072,,10.4764561973,,18.9474719491,17.5931449502,49.1898532719,273.063116828,29.4888443932,41.79,24.3110804685,25.2388147965,29.2423525323,40.78,,31.7660158639,20.4983027558,26.9533790974
2006-12-28,24.12403066,,10.3929221378,,18.9474719491,17.568011886,49.0048685392,270.9436101,30.0697463895,41.53,24.3407824605,25.2936817852,29.1890122054,40.54,,31.7131508227,20.3671136181,26.8026612273
2006-12-29,23.7760879101,,10.9031224703,,18.9138174696,17.4890222556,48.7153272184,265.203279378,29.7954315579,41.12,24.4076119425,25.0506994068,29.1890122054,40.46,,31.5604295926,20.4720649282,26.7398621148
2007-01-03,23.4008555327,,10.7694679751,,19.3976006122,17.582373637,48.5383853002,253.634305152,29.3516869774,39.92,24.3853354485,25.1290808192,28.6911691546,40.56,,31.7190247162,21.3379132366,26.9094197186
2007-01-04,23.4759020082,,11.0085038991,,19.473323191,17.9162843472,47.9030029574,244.273150436,30.0132698065,40.82,24.8085888348,24.9879942768,28.9815776009,41.33,,31.6250424207,21.6330887963,26.9031398074
2007-01-05,23.2575849886,,10.9301103972,,19.2377418347,17.9162843472,47.5571619354,243.831586534,29.5937294759,40.62,24.5264199106,24.9488035706,28.8986037591,41.93,,31.1962481977,21.2001646421,26.4007469071
2007-01-08,23.1757161063,,10.984086251,,19.54063215,17.9809122266,47.5812903787,248.247225551,30.0213378898,40.45,24.7194828587,25.0742138305,28.9163838681,41.8,,31.2256176651,21.3772699779,26.3819071734
2007-01-09,23.2030057338,,11.8965352083,,19.477530001,18.0311783551,47.0906786963,246.392657164,29.9487251402,39.63,24.6823553687,24.4628388137,28.8037765113,42.32,,31.3313477474,21.5150185724,26.6331036235
